#,PSRJ,RAJD,DECJD
1,J0034-0534,8.590976,-5.576867
2,J0034-0721,8.536960,-7.364836
3,J0418-4154,64.517500,-41.903000
4,J0437-4715,69.316234,-47.252531
5,J0452-1759,73.142107,-17.989825
6,J0534+2200,83.633221,22.014461
7,J0630-2834,97.705852,-28.578550
8,J0742-2822,115.704408,-28.378822
9,J0820-1350,125.109924,-13.848850
10,J0823+0159,125.790700,1.986781
11,J0835-4510,128.835881,-45.176354
12,J0837+0610,129.273508,6.170711
13,J0837-4135,129.338257,-41.587325
14,J0855-3331,133.910056,-33.527584
15,J0922+0638,140.558425,6.639806
16,J0953+0755,148.288790,7.926597
17,J1022+1001,155.741664,10.031329
18,J1112-6926,168.212500,-69.441944
19,J1116-4122,169.179525,-41.378878
20,J1136+1551,174.013532,15.851244
21,J1141-6545,175.279225,-65.755309
22,J1430-6623,217.670300,-66.384733
23,J1440-6344,220.130446,-63.746556
24,J1453-6413,223.386404,-64.220997
25,J1456-6843,224.000658,-68.727569
26,J1507-4352,226.892417,-43.867556
27,J1534-5334,233.534875,-53.572028
28,J1544-5308,236.249350,-53.146250
29,J1607-0032,241.800431,-0.544675
30,J1645-0317,251.258506,-3.299533
31,J1709-1640,257.360172,-16.682703
32,J1731-4744,262.925429,-47.742933
33,J1751-4657,267.925971,-46.956889
34,J1752-2806,268.244540,-28.110361
35,J1820-0427,275.219200,-4.460590
36,J1823-3106,275.944952,-31.113820
37,J1825-0935,276.377621,-9.589528
38,J1900-2600,285.198258,-26.012167
39,J1902-5105,285.511868,-51.099158
40,J1913-0440,288.475723,-4.679911
41,J1917+1353,289.415793,13.899154
42,J1921+2153,290.436729,21.883958
43,J1932+1059,293.058124,10.992339
44,J1935+1616,293.949275,16.277774
45,J1943-1237,295.856172,-12.628449
46,J2018+2839,304.515972,28.665059
47,J2022+2854,305.654446,28.906418
48,J2046-0421,311.500654,-4.357222
49,J2048-1616,312.148503,-16.279043
50,J2145-0750,326.460252,-7.838469
51,J2241-5236,340.425077,-52.610063
1,J0908-1739,137.159092,-17.660464
2,J0924-5302,141.036208,-53.045611
3,J0942-5552,145.565958,-55.881194
4,J0942-5657,145.726925,-56.962067
5,J0944-1354,146.120650,-13.911564
6,J1001-5507,150.408250,-55.118528
7,J1057-5226,164.495688,-52.448961
8,J1059-5742,164.753750,-57.703944
9,J0601-0527,90.495759,-5.464044
1,J1355-5153,208.994500,-51.898278
2,J1418-3921,214.709513,-39.355142
3,J1510-4422,227.703750,-44.368611
4,J1543-0620,235.875658,-6.345903
5,J1543+0929,235.911771,9.487872
